no;km;parcours
398;50;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - après l'église, 1ère route à droite VC - CAULNES - D62 – YVIGNAC LA TOUR - à droite D39 – La Croix Guessant – D39 – à droite D89 – à gauche D90 - GUENROC - à droite VC - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
401;106;MONTAUBAN – D28 – ROMILLE – D28 – GEVEZE – D28 (direction La Mézière) – 1ère à gauche D287 – VIGNOC – à droite D 25 – MONTREUIL LE GAST – D25 – ST GERMAIN/ILLE – à gauche après le bourg D91 (direction Aubigné) – 2ème à gauche D106 – ST MEDARD/ILLE – à droite D521 – MONTREUIL/ILLE – à droite D12 – FEINS – à gauche D20 (direction Dingé) – à droite D285 – S T LEGER DES PRES – à gauche et aussitôt à droite D285 – CUGUEN – à gauche D83 – à droite D796 – COMBOURG – D13 – LA CH LLE AUX FILTZMEENS – D13 – ST DOMINEUC – à gauche (direction Tinténiac) – à droite VC – TRIMER – D79 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D 71 – MONTAUBAN
402;76;MONTAUBAN – D28 – ROMILLE – D28 – GEVEZE – D28 (direction La Mézière) – 1ère à gauche D287 – VIGNOC – à droite D25 – MONTREUIL LE GAST – à gauche D82 – GUIPEL – D82 – DINGE – à gauche D20 – TINTENIAC – D20 – LA BAUSSAINE – D20 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
403;54;MONTAUBAN – D28 – ROMILLE – D28 – GEVEZE – D28 (direction La Mézière) – 1ère à gauche D287 – VIGNOC – à gauche D25 – LANGOUËT – D25 – LANGAN – à droite et à gauche à la sortie du bourg VC (direction Irodouër) – à gauche D221 – à droite D68 – MINIAC S/S BECHEREL – à gauche D220 – traverser D70 – à gauche D71 – LANDUJAN – D71 – MONTAUBAN
406;106;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - à gauche D79 - TRIMER - 2ème à gauche VC - ST DOMINEUC - à droite D13 - LA CHLLE AUX FILTZMEENS - D13 - COMBOURG - D796 (direction Bazouges la Pérouse) - à gauche D83 - CUGUEN - à droite D285 - ST LEGER DES PRES – à gauche, à droite puis à gauche D285 – à gauche D20 – FEINS - D12 - MONTREUIL/ILLE - à gauche D221 (direction Aubigné) - à droite D521 - ST MEDARD/ILLE - D106 (direction St Aubin d'Aubigné) - à droite D91 - ST GERMAIN/ILLE - D25 - MONTREUIL LE GAST - D25 - VIGNOC - D287 - GEVEZE - D28 - ROMILLE - D28 - MONTAUBAN
407;76;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - D20 - DINGE - D82 - GUIPEL - D82 - MONTREUIL LE GAST (centre) - D25 - VIGNOC - D287 - GEVEZE - D28 - ROMILLE - D28 - MONTAUBAN
408;54;MONTAUBAN - D71 - LANDUJAN - D71 (direction Bécherel) - à droite D220 - MINIAC S/S BECHEREL - D68 (direction Romillé) - à gauche D221 (direction La Chlle Chaussée) - à droite VC - LANGAN - D25 - LANGOUËT - D25 - VIGNOC - à droite D287 - GEVEZE - D28 - ROMILLE - D28 - MONTAUBAN
411;92;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – D62 – BREAL S/S MONTFORT – D62 – GOVEN – à droite D44 (direction Baulon) – à droite D38 – BAULON – à gauche D69 (direction La Chlle Bouëxic) – à droite D776 – LA CH LLE BOUËXIC – D776 (direction Guer) – Laisser la D65 (dir. Campel) et prendre la départementale suivante à droite D61 – PLELAN LE GD – D59 – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
412;70;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – D62 – BREAL S/S MONTFORT – à droite D36 – ST THURIAL – D36 – TREFFENDEL – à gauche D36 – ST PERAN – à gauche D40 (direction Plélan) – La Martinais – à droite D40 (direction Paimpont) – Coganne – à droite D59 – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
413;49;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – à droite D35 (direction Monterfil) – traverser D363 – La Noë Jeannot – à gauche D35 – ST PERAN – D61 (direction Iffendic) – 1ère à gauche VC (direction S t Gonlay) – à droite D31 – IFFENDIC – D61 – MONTAUBAN
416;92;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - D59 - PLELAN LE GD (centre) - à gauche D38 (direction Maxent) - passer sur 4 voies et aussitôt à droite D61 – Couédouan - après la Croix Simon, à gauche D776 - LA CHELLE BOUËXIC - tout droit D776 - à Bel Air, à gauche D69 - BAULON - à droite D38 (direction Lassy) puis après 2,5 km, à gauche D44 - GOVEN - D62 - BREAL S/S MONTFORT - D62 - TALENSAC - D62 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
417;70;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - D59 (direction Plélan le Gd) - Coganne - à gauche D40 et à nouveau à gauche D40 - ST PERAN - à droite D36 - TREFFENDEL - à droite D36 - ST THURIAL - D36 - BREAL S/S MONTFORT - D62 - TALENSAC - D62 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
418;49;MONTAUBAN - D61 - IFFENDIC - D31 (direction St Gonlay) - à gauche VC (direction St Péran) – La Rochette – à droite D61 - ST PERAN - à gauche D35 (direction Montfort/Meu) – aux 4 routes d’Iffendic, tout droit - à droite D35 – La Noë Jeannot - TALENSAC - D62 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
421;96;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – à gauche VC (direction Concoret) – à droite D31 – Chau de Comper – D141 – La Loriette – D2 – CONCORET – D2 – MAURON – à gauche puis à droite D16 – GUILLIERS – à droite à l’entrée du bourg D13 – MENEAC – D793 – MERDRIGNAC – D793 – ST LAUNEUC – à droite D76 (direction St Meen) – au rond point D764 (direction St Méen) – passer sous 4 voies – VC – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D 125 – BOISGERVILLY – D 61 – MONTAUBAN
422;69;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – à gauche VC (direction Concoret) – à droite D31 – Chau de Comper – D141 – La Loriette – D2 – CONCORET – D2 – MAURON – 3ème à droite D304 – D6 – ILLIFAUT – à droite D66 (direction St Meen) – 1ère à droite VC – traverser D52 – D258 – GAËL – à gauche après église VC – ST ONEN LA CHLLE – VC – D 125 – BOISGERVILLY – D 61 – MONTAUBAN
423;49;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – à gauche VC (direction Concoret) – à droite D31 – Chau de Comper – D141 – La Loriette – à droite D773 – à gauche D30 – GAËL – à droite VC – ST ONEN LA CHLLE – VC – D125 – BOISGERVILLY – D61 – MONTAUBAN
426;96;MONTAUBAN - D61 - BOISGERVILLY - D125 - ST MEEN LE G D – D220 - D66 - LE LOSCOUËT/MEU - à droite (direction Trémorel) et à gauche dans le bourg – à droite avant l’étang VC (driection Plumaugat) – au rond point D764 (direction Plumaugat) – passer sous 4 voies – D76 - ST LAUNEUC - à gauche D793 - MERDRIGNAC – à gauche après église puis à droite et à gauche D793 - MENEAC - D13 - GUILLIERS - à gauche D16 - MAURON - D2 - CONCORET - D2 – La Loriette - D141 - Chau de Comper - à gauche VC - MUEL - D30 - ST MAUGAN - D71 - BOISGERVILLY - D71 - D61 – MONTAUBAN
427;69;MONTAUBAN - D61 - BOISGERVILLY - D125 (direction St Méen le Gd) - à gauche VC - ST ONEN LA CHlle - VC - GAËL - à droite après l'église et 1ère à gauche D258 – traverser D52 – VC - à gauche D66 - ILLIFAUT - à gauche D6 - D304 - MAURON - D2 - CONCORET - D2 – La Loriette - D141 - Chau de Comper - à gauche VC - MUEL - D30 - ST MAUGAN - D71 - BOISGERVILLY - D71 - D61 - MONTAUBAN
428;49;MONTAUBAN - D61 - BOISGERVILLY - D125 (direction St Méen le Gd) - à gauche VC - ST ONEN LA CHlle - VC - GAËL - à gauche dans le bourg et à droite D773 (direction Paimpont) – La Loriette - à gauche D141 - Chau de Comper - à gauche VC - MUEL - D30 - ST MAUGAN - D71 - BOISGERVILLY - D71 - D61 - MONTAUBAN
431;66;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 – BEDEE – D31 – D68 – PLEUMELEUC – D68 (direction Romillé) – à droite D31 (direction Parthenay de Bgne) – traverser D21 – D31 – à droite D231 – PARTHENAY DE BGNE (centre) – à gauche après le bourg D231 (direction Montgermont) – Carrefour 5 routes – en face VC (rte à gauche de la direction de Montgermont) – MONTGERVAL – 1ère à gauche dans le bourg - à droite au cédez le passage D27 – aux 2 premiers ronds points, tout droit (direction Betton) – au 3ème rond point, à gauche (direction Montreuil Le Gast) – traverser D28 – à gauche D25 – MONTREUIL LE GAST – à gauche dans le bourg, D25 – au rond point après 4 voies D637 (direction Hédé) – à gauche D25 –VIGNOC – sur la droite à la sortie du bourg D25 – LANGOUËT – traverser D27 – D25 – LANGAN – à droite et à gauche VC (direction Irodouër) – à gauche D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
432;51;MONTAUBAN – D61 – D261 – S T UNIAC – D261 – à gauche D31 – BEDEE – D31 - D68 – PLEUMELEUC – D68 (direction Romillé) – à droite D31 (direction Parthenay de Bgne) – traverser D21 – D31 – à droite D231 – PARTHENAY DE BGNE (centre) – à gauche après le bourg D231 (direction Montgermont) et 1ère à gauche VC – GEVEZE – D28 (direction Romillé) – 2ème à droite (en face rte Parthenay) VC – à gauche D80 – LANGAN – à droite et à gauche VC (direction Irodouër) – à gauche D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
433;37;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 – BEDEE – D31 – D68 – PLEUMELEUC – D68 (direction Romillé) – à droite D31 (direction Parthenay de Bgne) – au carrefour, à gauche D21 – ROMILLE – D21 – IRODOUËR – D221 (direction La Ch lle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
436;66;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – D221 - VC - LANGAN - D25 - LANGOUËT - D25 - VIGNOC – au stop après le bourg, à gauche D637 et au rond point, à gauche D25 - MONTREUIL LE GAST - 2ème à droite VC (direction Montgerval) - traverser D28 - Les Loges – au 1er rond, à droite D27 – au 3 ème rond point, à gauche D637 (direction Montgerval) - à droite D231 - MONTGERVAL – à droite et à gauche dans le bourg, D231 - PARTHENAY DE BGNE - à droite D231 puis à gauche D31 - PLEUMELEUC - D68 – D31 - BEDEE - D31 - D261 - ST UNIAC - D261 - D61 - MONTAUBAN
437;51;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – D221 - VC - LANGAN - D80 (direction Gévezé) - à gauche D28 - GEVEZE - à droite D287 (direction Pacé) – au carrefour 5 routes, à droite D231 - PARTHENAY DE BGNE - à droite D231 puis à gauche D31 - PLEUMELEUC - D68 – D31 - BEDEE - D31 - D261 - ST UNIAC - D261 - D61 - MONTAUBAN
438;37;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – D21 - ROMILLE - D21 (direction St Gilles) – au carrefour, à droite D31 (direction Pleumeleuc) - à gauche D68 - PLEUMELEUC - D68 – D31 - BEDEE - D31 - D261 - ST UNIAC - D261 - D61 - MONTAUBAN
441;83;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite D63 – TREFFENDEL – 1ère à gauche D36 – ST THURIAL – à droite D69 – BAULON – D69 – à droite D776 – LA CHLLE BOUËXIC – à droite D42 (direction Bovel) – 1ère à gauche VC – à gauche D44 – CAMPEL – D65 – à gauche D38 – MAXENT – D63 (direction Treffendel) – 2ème à gauche D238 (direction Plélan) – La Ch lle es Chèvres – à droite VC – Le Châtaigner – à gauche N2024 – 1ère à droite VC (Le Néard) – à droite D61 – ST PERAN – D61 – IFFENDIC – D61 – MONTAUBAN
442;72;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite D63 – TREFFENDEL – 1ère à gauche D36 – ST THURIAL – à droite D69 – BAULON – à droite D38 – MAXENT – D63 (direction Treffendel) – 2ème à gauche D238 (direction Plélan) – La Chlle es Chèvres – à droite VC – à gauche N2024 – 1ère à droite VC (Le Néard) – à droite D61 – ST PERAN – D61 – IFFENDIC – D61 – MONTAUBAN
443;51;MONTAUBAN – D61 – IFFENDIC – D63 – MONTERFIL – à droite D63 – TREFFENDEL – D63 (direction Maxent) – à droite après 4 voies N2024 (direction Plélan) – 3ème à droite (Le Nèard) VC – à droite D61 – ST PERAN – D61 – IFFENDIC – D61 – MONTAUBAN
446;83;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN - D40 (direction Plélan le Gd) – D61– 4 km après St Péran, à gauche VC - La Jossetais - Le Néard - à gauche N2024 - à 800 m (Le Châtaignier), à droite VC - La Chapelle es Chèvres - à gauche D238 (direction St Thurial) - à droite D63 - MAXENT - à gauche D38 (direction Campel) - à droite D65 - CAMPEL - à gauche D44 (direction Bovel) puis tout droit VC - La Haute Bouessière - à droite D42 - LA CHLLE BOUËXIC - à gauche D776 (direction Rennes) - Bel Air - à gauche D69 - BAULON - D69 - ST THURIAL - à gauche D36 - TREFFENDEL - à droite D63 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN;9768146
447;72;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN - D40 (direction Plélan le Gd) – D61 - 4 km après St Péran, à gauche VC - La Jossetais - Le Néard - à gauche N2024 - à 800 m (Le Châtaignier), à droite VC - La Chapelle es Chèvres - à gauche D238 (direction St Thurial) - à droite D63 - MAXENT - à gauche D38 - BAULON - D69 - ST THURIAL - à gauche D36 - TREFFENDEL - à droite D63 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
448;51;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN - D40 (direction Plélan le Gd) – D61 - 4 km après St Péran, à gauche VC - La Jossetais - Le Néard - à gauche N2024 (direction St Thurial) - à gauche D63 - TREFFENDEL - à droite D63 - MONTERFIL - D63 - IFFENDIC - D61 - MONTAUBAN
451;75;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/MEU – à droite (direction Trémorel) et à gauche dans le bourg – à droite avant l’étang VC (direction Plumaugat) – au rond point D764 (direction Plumaugat) - passer sous 4 voies – à droite VC – La Gautraie – VC – PLUMAUGAT – à droite D46 – CAULNES – à droite D25 – GUITTE – à gauche D89 (direction Yvignac) – à droite D90 – GUENROC – à gauche à l’église puis encore à gauche D90 – à droite D39 (direction Tréfumel) – Le Val – à droite VC (direction Plouasne) – tout droit après le petit bois – Traveneuc – PLOUASNE – à gauche au rond point D25 (direction Guitté) – 1ère à gauche après étang de Néal, VC – La Reculais – MEDREAC – D61 (direction Montauban) – à gauche D21 – LANDUJAN – D71 – MONTAUBAN
452;62;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/MEU – à droite (direction Trémorel) et à gauche dans le bourg – à droite avant l’étang VC (direction Plumaugat) – au rond point D764 (direction Plumaugat) - passer sous 4 voies – à droite VC – La Gautraie – VC – PLUMAUGAT – à droite D46 – CAULNES – à droite D25 – GUITTE – D25 (direction Plouasne) – à droite avant étang de Néal, VC – La Reculais – MEDREAC – D61 (direction Montauban) – à gauche D21 – LANDUJAN – D71 – MONTAUBAN
453;42;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD (centre ville) – au rond point, tout droit D166 (direction Dinan) – Le Parson – à gauche D166 (direction St Jouan de l’Isle) – La Prévostais – à droite D220 – QUEDILLAC – D220 – MEDREAC – D61 (direction Montauban) – à gauche D21 – LANDUJAN – D71 – MONTAUBAN
456;75;MONTAUBAN - D71 - LANDUJAN - à gauche D21 - D61 - MEDREAC - à droite D220 (direction St Pern) et aussitôt à gauche VC - La Reculais - à droite D25 - PLOUASNE – au rond point, à gauche VC - Traveneuc – Le Val - à gauche D39 - à gauche D90 - GUENROC - D90 (direction Yvignac) - à gauche D89 - GUITTE - D25 - CAULNES - à gauche et à droite D46 - PLUMAUGAT - à gauche VC (direction Ecole du Sacré-Coeur ) – La Gautraie – LE LOSCOUËT/MEU - D66 - D220 - ST MEEN LE GD - D125 - BOISGERVILLY - D61 - MONTAUBAN
457;62;MONTAUBAN - D71 - LANDUJAN - à gauche D21 - D61 - MEDREAC - à droite D220 (direction St Pern) et aussitôt à gauche VC - La Reculais - à gauche D25 - GUITTE - D25 - CAULNES - à gauche et à droite D46 - PLUMAUGAT – D46 (direction Lanrelas) et aussitôt à gauche VC (direction Ecole du Sacré-Coeur ) – La Gautraie – au rond point, D764 (direction St Méen) – passer sous 4 voies – VC - LE LOSCOUËT/MEU - D66 - D220 - ST MEEN LE GD - D125 - BOISGERVILLY - D61 - MONTAUBAN
458;42;MONTAUBAN - D71 - LANDUJAN - à gauche D21 - D61 - MEDREAC - D220 - QUEDILLAC - D220 (direction St Méen) - La Prévostais - à gauche D166 (direction St Méen) - à droite VC - Le Parson - ST MEEN LE GD (centre ville) - D125 - BOISGERVILLY - D61 - MONTAUBAN
461;79;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – à droite puis à gauche VC – GUENROC – à droite D90 – ST MADEN – à droite VC (direction St Juvat) – à droite D64 – ST JUVAT – à gauche D12 (direction Dinan) – à gauche D78 – TREVRON – Tout droit D78 – LE HINGLE – sur la droite VC – ST CARNE – tout droit VC – LEHON – à droite au 1er rond point – emprunter passage piétonier et passer La Rance – VC – TRESSAINT – Les Loges – à gauche D2 et aussitôt à droite VC – 2ème à gauche – La Ville es Souèdre – à droite D794 – à gauche VC – ST SOLEN – VC – à droite D29 – LES CHAMPS GERAUX – à gauche VC (direction Plesder) – prendre sur la droite puis à gauche D39 – D78 – PLESDER – à droite D79 – TREVERIEN – D79 – traverser D13 – D79 (direction Trimer) – Rollée – à droite VC – D70 – ST THUAL – D70 – LONGAULNAY – D70 – à gauche D68 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
462;60;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – à droite puis à gauche VC – GUENROC – à droite D90 – ST MADEN – à droite VC (direction St Juvat) – à droite D64 – ST JUVAT – à gauche D12 (direction Dinan) – à droite D78 (direction Evran) – à droite D26 et aussitôt à gauche D78 – EVRAN – D78 – TREVERIEN – D79 – traverser D13 – D79 (direction Trimer) – Rollée – à droite VC – D70 – ST THUAL – D70 – LONGAULNAY – D70 – à gauche D68 – BECHEREL – D20 – D71 – LANDUJAN – D71 – MONTAUBAN
463;43;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – à droite puis à gauche VC – GUENROC – à droite D90 (direction St Maden) – à droite D39 – TREFUMEL – D39 – LE QUIOU – D26 puis à droite VC – PLOUASNE – D12 – D20 – ST PERN – D62 – LANDUJAN – D71 – MONTAUBAN
466;79;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - à gauche D68 (direction Evran) et à droite D70 - LONGAULNAY - D70 - ST THUAL – D70 - tout droit VC – 1ère à gauche D79 - Rollée – traverser D13 - D79 - TREVERIEN - D79 - PLESDER - à gauche D78 (direction Evran) – D39 - à droite VC – LES CHAMPS GERAUX - à droite D29 (direction St Solen) - traverser D794 - D29 - à gauche VC - ST SOLEN - tout droit VC (direction Lanvallay) - à droite D794 puis 1ère à gauche VC – La Ville es Souèdre – Les Loges – à gauche D2 et aussitôt à droite VC - TRESSAINT - VC (emprunter le passage piétonnier après La Rance) - LEHON - tout droit puis 2ème à gauche D26a - ST CARNÉ – tout droit VC - LE HINGLÉ - à gauche D78 - TRÉVRON - tout droit D78 (direction St Juvat) - à droite D12 - ST JUVAT - D64 (direction Plumaudan) puis à gauche VC - ST MADEN - à gauche D90 - GUENROC - VC - GUITTÉ - D89 - D61 - MEDREAC - D61 - MONTAUBAN
467;60;MONTAUBAN - D71 - LANDUJAN - D71 - D20 - BECHEREL - à gauche D68 (direction Evran) et à droite D70 - LONGAULNAY - D70 - ST THUAL - D70 - tout droit VC – 1ère à gauche D79 - Rollée – traverser D13 - D79 - TREVERIEN - à gauche D78 - EVRAN – à droite D2 et à gauche D78 (direction Trévron / Le Hinglé) - à droite D26 et aussitôt à gauche D78 (direction Trévron) - à gauche D12 - ST JUVAT - D64 (direction Plumaudan) puis à gauche VC - ST MADEN - à gauche D90 - GUENROC - VC - GUITTÉ - D89 - D61 - MEDREAC - D61 - MONTAUBAN
468;43;MONTAUBAN - D71 - LANDUJAN - D62 - ST PERN - D20 - D12 - PLOUASNE - à droite VC - LE QUIOU - à gauche D39 - TREFUMEL - D39 (direction Caulnes) - à gauche D90 - GUENROC - VC - GUITTÉ - D89 - D61 - MEDREAC - D61 - MONTAUBAN
471;72;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 – BEDEE – D31 – D68 – PLEUMELEUC – D68 – ROMILLE – VC – LA CHLLE CHAUSSEE – D81 – S T BRIEUC DES IFFS – D81 – TINTENIAC – à gauche et encore à gauche aux feux D20 – LA BAUSSAINE – D20 – BECHEREL – D20 (direction Médréac) – D220 – à droite D20 – ST PERN – D20 – D12 – PLOUASNE – 2ème à gauche D25 – GUITTE – à gauche D89 – D61 – MEDREAC – D61 (direction Montauban) et 1ère à gauche D21 – LANDUJAN – à droite D71 – MONTAUBAN
472;58;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 – BEDEE – D31 – D68 – PLEUMELEUC – D68 – ROMILLE – VC – LA CHLLE CHAUSSEE – D81 – S T BRIEUC DES IFFS – D81 – TINTENIAC – à gauche et encore à gauche aux feux D20 – LA BAUSSAINE – D20 – BECHEREL – D20 (direction Médréac) – D220 - à gauche au niveau de St Pern, D62 – LANDUJAN – à droite D71 – MONTAUBAN
473;41;MONTAUBAN – D61 – D261 – ST UNIAC – D261 – à gauche D31 – BEDEE – D31 – D68 – PLEUMELEUC – D68 – ROMILLE – D21 (direction Irodouër) – à droite D68 – MINIAC S/S BECHEREL – à gauche D220 (direction St Pern) – traverser D70 – D220 – 1ère à gauche D71 – LANDUJAN – D71 – MONTAUBAN
476;72;MONTAUBAN - D71 - LANDUJAN - à gauche D21 - MEDREAC - D61 - D89 - GUITTE - à droite D25 - PLOUASNE - D12 - D20 - ST PERN - à gauche D220 – D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - à droite aux feux (direction Hédé) et à nouveau à droite VC - ST BRIEUC DES IFFS - D81 - LA CHAPELLE CHAUSSEE - tout droit VC - ROMILLE - D68 - PLEUMELEUC - D68 - D31 - BEDEE - D31 - D261 - ST UNIAC - D261 - D61 - MONTAUBAN
477;58;MONTAUBAN - D71 - LANDUJAN - à gauche D62 (direction St Pern) - à droite D220 - D20 - BECHEREL - D20 - LA BAUSSAINE - D20 - TINTENIAC - à droite aux feux (direction Hédé) et à nouveau à droite VC - ST BRIEUC DES IFFS - D81 - LA CHAPELLE CHAUSSEE - tout droit VC - ROMILLE - D68 - PLEUMELEUC - D68 – D31 - BEDEE - D31 - D261 - ST UNIAC - D261 - D61 - MONTAUBAN
478;41;MONTAUBAN - D71 - LANDUJAN - D71 (direction Bécherel) - à droite D220 – traverser D70 – D220 - MINIAC S/S BECHEREL - à droite D68 - ROMILLE - D68 - PLEUMELEUC - D68 – D31 - BEDEE - D31 - D261 - ST UNIAC - D261 - D61 - MONTAUBAN
481;87;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – à gauche D70 – à droite D20 – BECHEREL – à gauche D68 – à droite D70 – LONGAULNAY – D70 – ST THUAL – D70 – VC (direction Trimer) – Rollée – à gauche D79 – TREVERIEN – à gauche et à droite D79 – PLESDER – à gauche D78 (direction Evran) – D39 – à droite VC – LES CHAMPS GERAUX – à droite D29 (direction St Solen) – Traverser D794 – D29 (direction St Helen) – à gauche D29 – à droite D795 et aussitôt à gauche D29 – LA VICOMTE/RANCE – à gauche D57 – LA HISSE – D12 (direction Taden) – Le Port de Dinan – DINAN – D12 – LEHON – D12 (direction Calorguen) – à droite D12 – ST JUVAT – D12 – TREFUMEL – D12 – PLOUASNE – D12 – D20 – ST PERN – D62 – LANDUJAN – D71 – MONTAUBAN
482;74;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – à gauche D70 – à droite D20 – BECHEREL – à gauche D68 – à droite D70 – LONGAULNAY – D70 – ST THUAL – D70 – VC (direction Trimer) – Rollée – à gauche D79 – TREVERIEN – à gauche et à droite D79 – PLESDER – à gauche D78 (direction Evran) – D39 – à droite VC – LES CHAMPS GERAUX – tout droit (traverser D29) – VC – à droite D2 (direction Lanvallay) – Les Loges – à gauche TRESSAINT – VC – LEHON – à gauche après La Rance – à gauche D12 (direction Calorguen) – à droite D12 – ST JUVAT – D12 – TREFUMEL – D12 – PLOUASNE – D12 – D20 – ST PERN – D62 – LANDUJAN – D71 – MONTAUBAN
483;55;MONTAUBAN – D71 – à droite D262 – La Saudraie – D62 – D221 – IRODOUËR – à gauche D70 – à droite D 20 – BECHEREL – à gauche D68 – à droite D70 – LONGAULNAY – D70 – ST THUAL – D70 – VC (direction Trimer) – Rollée – à gauche D79 – TREVERIEN – à gauche D11 – D78 – EVRAN – D39 – D26 – LE QUIOU – D39 – TREFUMEL – à droite D12 – PLOUASNE – D12 – D20 – ST PERN – D62 – LANDUJAN – D71 – MONTAUBAN
486;87;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – D12 TREFUMEL – D12 – ST JUVAT – D12 (direction Dinan) – à gauche D12 – LEHON – D12 – DINAN – Le Port de Dinan – D12 – LA HISSE – à droite D57 – LA VICOMTE / RANCE – à droite D29 – à droite D795 et aussitôt à gauche D29 (direction St Helen) – à gauche D29 (direction St Solen) – traverser D794 – D29 – LES CHAMPS GERAUX – à gauche VC (direction Plesder) - à droite VC – (vers Couamihac) – à gauche D39 – D 78 – PLESDER – à droite D79 – TREVERIEN – D79 – traverser D13 – D 79 – Rollée – à droite VC – D70 – ST THUAL – D70 – LONGAULNAY – D70 – à gauche D68 – à droite D20 – BECHEREL – D20 – Chau de Caradeuc – à gauche D70 – IRODOUËR – D221 – D62 – La Saudraie – D262 – D71 – MONTAUBAN
487;74;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – D12 TREFUMEL – D12 – ST JUVAT – D12 (direction Dinan) – à gauche D12 (direction Dinan) – 1ére à droite VC – longer la Rance et à droite après avoir franchi le pont, VC – TRESSAINT – Les Loges – à droite D2 (direction Evran) – 2ème à gauche VC – LES CHAMPS GERAUX – tout droit VC (direction Plesder) - à droite VC – (vers Couamihac) – à gauche D39 – D 78 – PLESDER – à droite D79 – TREVERIEN – D79 – traverser D13 – D 79 – Rollée – à droite VC – D70 – ST THUAL – D70 – LONGAULNAY – D70 – à gauche D68 – à droite D20 – BECHEREL – D20 – Chau de Caradeuc – à gauche D70 – IRODOUËR – D221 – D62 – La Saudraie – D262 – D71 – MONTAUBAN
